date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:28:42	23429/23429	---M--	200	added ('OK')	text/html	etag:%221d9003b-5b85-4c89fdc773dc0%22	http://www.cprogramming.com/gameprogramming.html	www.cprogramming.com/gameprogramming.html	(from http://www.cprogramming.com/)
00:28:42	27308/27308	---M--	200	added ('OK')	text/html	etag:%221d90065-6aac-4c89fdc773dc0%22	http://www.cprogramming.com/whatdoesittake.html	www.cprogramming.com/whatdoesittake.html	(from http://www.cprogramming.com/)
00:28:43	23540/23540	---M--	200	added ('OK')	text/html	etag:%2235b83fd-5bf4-4c89fdc773dc0%22	http://www.cprogramming.com/tutorial/computersciencetheory/intro.html	www.cprogramming.com/tutorial/computersciencetheory/intro.html	(from http://www.cprogramming.com/)
00:28:43	22679/22679	---M--	200	added ('OK')	text/html	etag:%221d90067-5897-4c89fdc773dc0%22	http://www.cprogramming.com/whyc.html	www.cprogramming.com/whyc.html	(from http://www.cprogramming.com/)
00:28:44	21251/21251	---M--	200	added ('OK')	text/html	etag:%221d9003c-5303-4c89fdc773dc0%22	http://www.cprogramming.com/gcc.html	www.cprogramming.com/gcc.html	(from http://www.cprogramming.com/)
00:28:45	26549/26549	---M--	200	added ('OK')	text/html	etag:%2235b833e-67b5-4c89fdc773dc0%22	http://www.cprogramming.com/tutorial/makefiles.html	www.cprogramming.com/tutorial/makefiles.html	(from http://www.cprogramming.com/)
00:28:46	27623/27623	---M--	200	added ('OK')	text/html	etag:%221d90057-6be7-4c89fdc773dc0%22	http://www.cprogramming.com/texteditors.html	www.cprogramming.com/texteditors.html	(from http://www.cprogramming.com/)
00:28:47	23567/23567	---M--	200	added ('OK')	text/html	etag:%221d9002d-5c0f-4c89fdc773dc0%22	http://www.cprogramming.com/compilingandlinking.html	www.cprogramming.com/compilingandlinking.html	(from http://www.cprogramming.com/)
00:28:47	32683/32683	---M--	200	added ('OK')	text/html	etag:%2235b8308-7fab-4c89fdc773dc0%22	http://www.cprogramming.com/tutorial/compiler_linker_errors.html	www.cprogramming.com/tutorial/compiler_linker_errors.html	(from http://www.cprogramming.com/)
00:28:47	25319/25319	---M--	200	added ('OK')	text/html	etag:%2235b8366-62e7-4c89fdc773dc0%22	http://www.cprogramming.com/tutorial/thinking.html	www.cprogramming.com/tutorial/thinking.html	(from http://www.cprogramming.com/)
00:28:49	24769/24769	---M--	200	added ('OK')	text/html	etag:%2235b8309-60c1-4c89fdc773dc0%22	http://www.cprogramming.com/tutorial/compiler_warnings.html	www.cprogramming.com/tutorial/compiler_warnings.html	(from http://www.cprogramming.com/)
